Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
4659;1;1.950;8.350;-3.682;-0.11;-0.06;0.17;-0.76;0.12;6.88;24.30;1.88
4660;1;1.950;8.450;-3.695;-0.05;-0.04;0.16;-0.64;0.16;5.91;21.98;0.13
4661;1;1.950;8.550;-3.708;0.00;-0.02;0.14;-0.52;0.21;5.16;19.70;-1.31
4662;1;1.950;8.650;-3.721;0.04;0.00;0.13;-0.42;0.24;4.60;17.55;-2.45
4663;1;1.950;8.750;-3.734;0.07;0.02;0.12;-0.34;0.26;4.18;15.57;-3.32
4664;1;1.950;8.850;-3.746;0.10;0.04;0.11;-0.26;0.27;3.88;13.79;-3.97
4665;1;1.950;8.950;-3.759;0.12;0.06;0.10;-0.19;0.27;3.68;12.20;-4.44
4666;1;1.950;9.050;-3.772;0.14;0.08;0.09;-0.13;0.27;3.55;10.80;-4.75
4667;1;1.950;9.150;-3.785;0.15;0.09;0.09;-0.07;0.26;3.49;9.58;-4.93
4668;1;1.950;9.250;-3.798;0.16;0.11;0.08;-0.02;0.25;3.48;8.53;-5.01
4669;1;1.950;9.350;-3.810;0.16;0.12;0.07;0.02;0.24;3.51;7.61;-5.01
4670;1;1.950;9.450;-3.823;0.17;0.13;0.07;0.06;0.23;3.56;6.81;-4.95
4671;1;1.950;9.550;-3.836;0.17;0.14;0.07;0.10;0.22;3.62;6.12;-4.86
4672;1;1.950;9.650;-3.849;0.16;0.15;0.06;0.13;0.21;3.69;5.50;-4.74
4673;1;1.950;9.750;-3.862;0.16;0.15;0.06;0.16;0.19;3.76;4.95;-4.61
4674;1;1.950;9.850;-3.875;0.16;0.16;0.06;0.18;0.18;3.82;4.43;-4.48
4675;1;1.950;9.950;-3.887;0.15;0.16;0.07;0.20;0.17;3.85;3.95;-4.38
4676;1;0.200;10.200;-3.723;0.18;-0.04;0.00;-0.19;0.06;-5.48;-11.81;3.60
4677;1;0.200;10.600;-3.818;0.22;-0.02;0.01;-0.15;0.04;-6.44;-9.52;2.16
4678;1;0.200;11.000;-3.912;0.25;-0.02;0.00;-0.13;0.02;-8.90;-6.72;0.96
4679;1;0.200;11.400;-4.008;0.26;-0.02;-0.02;-0.05;0.00;-11.92;-3.19;0.62
4680;1;0.200;11.800;-4.102;0.27;-0.02;-0.05;0.07;0.07;-12.21;0.20;0.78
4681;1;0.600;10.200;-3.767;0.10;-0.01;0.02;-0.12;0.08;-4.02;-10.97;1.14
4682;1;0.600;10.600;-3.852;0.14;-0.01;0.02;-0.13;0.03;-4.90;-9.63;-0.47
4683;1;0.600;11.000;-3.938;0.18;-0.02;0.02;-0.15;0.02;-7.46;-7.24;-2.37
4684;1;0.600;11.400;-4.023;0.22;-0.03;0.00;-0.14;0.05;-10.93;-3.55;-3.28
4685;1;0.600;11.800;-4.108;0.26;-0.02;-0.03;-0.09;0.12;-11.76;0.23;-1.89
4686;1;1.000;10.200;-3.813;0.07;0.02;0.03;0.02;0.08;-2.02;-7.10;-1.18
4687;1;1.000;10.600;-3.888;0.09;0.01;0.04;-0.02;0.02;-2.65;-7.17;-2.85
4688;1;1.000;11.000;-3.963;0.13;-0.01;0.05;-0.07;0.02;-5.34;-5.97;-5.15
4689;1;1.000;11.400;-4.037;0.17;-0.03;0.03;-0.09;0.07;-10.01;-3.10;-6.37
4690;1;1.000;11.800;-4.113;0.22;-0.02;0.00;-0.07;0.14;-14.18;0.30;-3.77
4691;1;1.400;10.200;-3.858;0.08;0.07;0.05;0.15;0.08;0.37;-2.79;-2.77
4692;1;1.400;10.600;-3.922;0.08;0.05;0.06;0.12;0.03;-0.15;-3.97;-4.25
4693;1;1.400;11.000;-3.987;0.11;0.01;0.07;0.07;0.03;-3.13;-4.11;-6.62
4694;1;1.400;11.400;-4.052;0.15;-0.02;0.06;0.03;0.09;-9.51;-2.44;-8.05
4695;1;1.400;11.800;-4.117;0.21;-0.01;0.03;0.02;0.14;-18.37;0.36;-4.86
4696;1;1.800;10.200;-3.902;0.12;0.13;0.07;0.23;0.11;2.87;1.30;-3.90
4697;1;1.800;10.600;-3.957;0.12;0.10;0.09;0.23;0.06;2.07;-0.56;-4.80
4698;1;1.800;11.000;-4.012;0.13;0.06;0.11;0.20;0.05;-1.35;-1.93;-6.82
4699;1;1.800;11.400;-4.068;0.18;0.01;0.10;0.15;0.09;-9.43;-1.64;-8.43
4700;1;1.800;11.800;-4.122;0.24;0.00;0.07;0.12;0.13;-22.98;0.43;-5.34
4701;1;2.200;8.200;-3.723;-0.32;-0.08;0.17;-1.04;0.18;10.81;25.09;2.36
4702;1;2.200;8.600;-3.767;-0.02;0.02;0.12;-0.61;0.24;7.88;18.53;-3.56
4703;1;2.200;9.000;-3.813;0.12;0.11;0.09;-0.26;0.26;6.80;12.79;-6.02
4704;1;2.200;9.400;-3.858;0.17;0.18;0.07;-0.02;0.24;6.42;9.12;-6.37
4705;1;2.200;9.800;-3.902;0.18;0.21;0.07;0.14;0.21;6.02;6.96;-5.84
4706;1;2.200;10.200;-3.948;0.17;0.21;0.09;0.24;0.16;5.23;5.26;-5.18
4707;1;2.200;10.600;-3.993;0.16;0.19;0.12;0.28;0.12;3.56;3.20;-5.11
4708;1;2.200;11.000;-4.037;0.18;0.13;0.14;0.28;0.08;-0.42;0.79;-6.22
4709;1;2.200;11.400;-4.082;0.23;0.06;0.15;0.23;0.08;-9.61;-0.52;-7.81
4710;1;2.200;11.800;-4.128;0.31;0.01;0.10;0.18;0.09;-26.79;0.52;-5.38
4711;1;2.600;8.200;-3.818;-0.42;-0.07;0.13;-1.13;0.32;16.62;20.52;-1.25
4712;1;2.600;8.600;-3.852;-0.10;0.07;0.07;-0.74;0.28;14.66;17.14;-6.27
4713;1;2.600;9.000;-3.888;0.08;0.19;0.05;-0.40;0.24;13.37;13.65;-8.49
4714;1;2.600;9.400;-3.922;0.16;0.27;0.06;-0.14;0.22;11.96;11.18;-8.92
4715;1;2.600;9.800;-3.957;0.19;0.31;0.07;0.04;0.20;9.96;9.80;-8.35
4716;1;2.600;10.200;-3.993;0.19;0.32;0.10;0.16;0.18;7.33;8.84;-7.20
4717;1;2.600;10.600;-4.028;0.19;0.30;0.14;0.24;0.14;4.09;7.19;-5.95
4718;1;2.600;11.000;-4.063;0.21;0.24;0.18;0.26;0.08;-0.60;4.19;-5.61
4719;1;2.600;11.400;-4.097;0.28;0.14;0.19;0.22;0.04;-9.91;1.10;-6.65
4720;1;2.600;11.800;-4.133;0.37;0.03;0.13;0.15;0.04;-28.79;0.67;-5.12
4721;1;3.000;8.200;-3.912;-0.44;-0.03;0.06;-1.03;0.47;23.61;15.08;-3.19
4722;1;3.000;8.600;-3.938;-0.14;0.13;0.00;-0.73;0.27;21.94;14.03;-7.94
4723;1;3.000;9.000;-3.963;0.03;0.26;-0.01;-0.47;0.16;20.14;12.53;-10.38
4724;1;3.000;9.400;-3.987;0.12;0.35;0.01;-0.26;0.11;17.48;11.28;-11.30
4725;1;3.000;9.800;-4.012;0.16;0.40;0.04;-0.10;0.09;13.71;10.79;-11.16
4726;1;3.000;10.200;-4.037;0.17;0.42;0.08;0.02;0.07;9.04;10.85;-10.06
4727;1;3.000;10.600;-4.063;0.18;0.41;0.13;0.11;0.04;3.89;10.33;-8.08
4728;1;3.000;11.000;-4.088;0.19;0.35;0.18;0.14;-0.01;-1.73;7.72;-6.11
4729;1;3.000;11.400;-4.113;0.26;0.23;0.22;0.10;-0.06;-10.16;3.17;-5.78
4730;1;3.000;11.800;-4.137;0.39;0.06;0.17;0.01;-0.04;-28.19;0.84;-4.87
4731;1;3.400;8.200;-4.008;-0.34;0.03;-0.01;-0.69;0.50;26.86;9.11;-2.80
4732;1;3.400;8.600;-4.023;-0.13;0.15;-0.10;-0.59;0.15;25.58;9.40;-7.50
4733;1;3.400;9.000;-4.037;0.00;0.26;-0.11;-0.44;-0.05;23.51;9.17;-10.67
4734;1;3.400;9.400;-4.052;0.07;0.35;-0.08;-0.31;-0.17;20.05;8.78;-12.56
4735;1;3.400;9.800;-4.068;0.11;0.41;-0.04;-0.20;-0.23;15.35;8.88;-13.34
4736;1;3.400;10.200;-4.082;0.12;0.43;0.00;-0.12;-0.26;9.79;9.66;-13.04
4737;1;3.400;10.600;-4.097;0.12;0.43;0.05;-0.06;-0.28;3.75;10.43;-11.52
4738;1;3.400;11.000;-4.113;0.10;0.40;0.11;-0.04;-0.30;-2.37;9.28;-8.95
4739;1;3.400;11.400;-4.128;0.13;0.30;0.18;-0.10;-0.30;-9.49;4.70;-6.93
4740;1;3.400;11.800;-4.142;0.29;0.10;0.19;-0.25;-0.16;-24.31;0.75;-5.57
4741;1;3.800;8.200;-4.102;-0.15;0.02;-0.06;-0.25;0.34;21.78;3.52;-0.67
4742;1;3.800;8.600;-4.108;-0.07;0.08;-0.18;-0.28;-0.08;20.74;3.75;-5.69
4743;1;3.800;9.000;-4.113;-0.01;0.14;-0.20;-0.24;-0.43;18.38;3.90;-9.96
4744;1;3.800;9.400;-4.117;0.03;0.18;-0.17;-0.19;-0.67;15.04;3.91;-12.85
4745;1;3.800;9.800;-4.122;0.05;0.21;-0.13;-0.15;-0.81;11.23;4.09;-14.39
4746;1;3.800;10.200;-4.128;0.06;0.22;-0.09;-0.12;-0.86;7.44;4.72;-14.89
4747;1;3.800;10.600;-4.133;0.05;0.23;-0.07;-0.08;-0.86;3.91;5.64;-14.47
4748;1;3.800;11.000;-4.137;0.02;0.23;-0.05;-0.05;-0.85;0.52;5.29;-12.92
4749;1;3.800;11.400;-4.142;-0.03;0.22;0.00;-0.15;-0.80;-3.23;0.96;-10.81
4750;1;3.800;11.800;-4.148;0.00;0.16;0.09;-0.49;-0.47;-13.28;-3.08;-10.41
4751;1;-0.050;7.950;-3.175;3.02;20.97;5.79;-5.85;65.63;66.72;28.28;36.57
4752;1;-0.050;7.850;-3.200;1.68;1.89;3.02;-25.86;6.36;30.30;16.60;25.69
4753;1;-0.050;7.750;-3.224;0.89;0.05;2.76;-14.67;-5.39;18.38;-1.44;20.75
4754;1;-0.050;7.650;-3.249;0.24;-0.49;2.38;-6.17;-5.73;10.01;-11.50;15.74
4755;1;-0.050;7.550;-3.274;-0.19;-0.74;1.89;-0.87;-5.10;3.08;-17.46;11.63
4756;1;-0.050;7.450;-3.298;-0.32;-0.78;1.50;1.93;-4.26;-2.04;-20.53;8.62
4757;1;-0.050;7.350;-3.323;-0.33;-0.70;1.17;3.22;-3.49;-5.56;-21.75;6.38
4758;1;-0.050;7.250;-3.348;-0.29;-0.58;0.88;3.62;-2.81;-7.69;-21.69;4.71
4759;1;-0.050;7.150;-3.372;-0.22;-0.44;0.65;3.48;-2.19;-8.68;-20.70;3.45
4760;1;-0.050;7.050;-3.397;-0.15;-0.31;0.46;3.06;-1.64;-8.80;-19.03;2.48
4761;1;-0.050;6.950;-3.422;-0.09;-0.20;0.32;2.50;-1.15;-8.31;-16.88;1.72
4762;1;-0.050;6.850;-3.446;-0.04;-0.11;0.21;1.95;-0.73;-7.47;-14.43;1.09
4763;1;-0.050;6.750;-3.471;-0.01;-0.05;0.14;1.48;-0.39;-6.49;-11.86;0.57
4764;1;-0.050;6.650;-3.496;0.01;-0.01;0.08;1.03;-0.15;-5.46;-9.25;0.24
4765;1;-0.050;6.550;-3.520;0.02;0.01;0.05;0.70;0.05;-4.60;-6.85;0.04
4766;1;-0.050;6.450;-3.545;0.02;0.02;0.03;0.52;0.19;-3.91;-4.79;-0.07
4767;1;-0.050;6.350;-3.570;0.02;0.02;0.02;0.37;0.21;-3.30;-3.05;-0.09
4768;1;-0.050;6.250;-3.595;0.02;0.02;0.01;0.27;0.22;-2.85;-1.63;-0.09
4769;1;-0.050;6.150;-3.619;0.02;0.02;0.01;0.21;0.20;-2.47;-0.47;-0.05
4770;1;-0.050;6.050;-3.644;0.01;0.02;0.00;0.16;0.17;-2.12;0.48;0.02
4771;1;-0.150;7.950;-3.200;5.41;7.99;5.58;19.92;48.60;46.82;55.27;47.75
4772;1;-0.150;7.850;-3.224;3.24;3.84;3.08;-13.77;20.79;32.47;31.58;25.28
4773;1;-0.150;7.750;-3.248;2.04;1.15;2.62;-11.94;5.61;22.32;13.90;14.15
4774;1;-0.150;7.650;-3.272;0.90;0.22;2.11;-5.56;0.50;13.92;2.04;8.07
4775;1;-0.150;7.550;-3.296;0.26;-0.18;1.62;-1.79;-1.06;7.43;-5.42;3.91
4776;1;-0.150;7.450;-3.320;-0.05;-0.33;1.22;0.35;-1.44;2.66;-9.88;1.17
4777;1;-0.150;7.350;-3.344;-0.18;-0.36;0.90;1.38;-1.41;-0.67;-12.35;-0.62
4778;1;-0.150;7.250;-3.368;-0.21;-0.32;0.64;1.74;-1.23;-2.78;-13.48;-1.75
4779;1;-0.150;7.150;-3.392;-0.19;-0.26;0.45;1.72;-1.01;-3.93;-13.66;-2.41
4780;1;-0.150;7.050;-3.416;-0.15;-0.19;0.31;1.51;-0.78;-4.39;-13.16;-2.74
4781;1;-0.150;6.950;-3.440;-0.11;-0.13;0.21;1.23;-0.56;-4.38;-12.15;-2.83
4782;1;-0.150;6.850;-3.464;-0.07;-0.08;0.14;0.97;-0.35;-4.12;-10.82;-2.75
4783;1;-0.150;6.750;-3.488;-0.05;-0.05;0.09;0.78;-0.18;-3.78;-9.30;-2.55
4784;1;-0.150;6.650;-3.512;-0.03;-0.02;0.05;0.54;-0.08;-3.42;-7.63;-2.25
4785;1;-0.150;6.550;-3.536;-0.02;-0.01;0.03;0.41;0.00;-3.10;-5.93;-1.91
4786;1;-0.150;6.450;-3.560;-0.01;0.00;0.02;0.35;0.06;-2.80;-4.28;-1.54
4787;1;-0.150;6.350;-3.585;0.00;0.01;0.01;0.27;0.09;-2.51;-2.81;-1.19
4788;1;-0.150;6.250;-3.609;0.00;0.01;0.00;0.23;0.10;-2.30;-1.58;-0.90
4789;1;-0.150;6.150;-3.633;0.00;0.01;0.00;0.18;0.08;-2.07;-0.53;-0.63
4790;1;-0.150;6.050;-3.657;0.00;0.01;0.00;0.15;0.06;-1.83;0.35;-0.38
4791;1;-0.250;7.950;-3.224;4.36;4.49;3.88;15.14;25.13;49.09;52.37;42.19
4792;1;-0.250;7.850;-3.248;3.59;2.71;3.03;0.60;15.99;35.20;36.72;24.59
4793;1;-0.250;7.750;-3.271;2.30;1.19;2.30;-3.11;7.44;24.19;21.63;11.76
4794;1;-0.250;7.650;-3.295;1.28;0.41;1.77;-2.22;2.87;15.95;10.36;3.93
4795;1;-0.250;7.550;-3.318;0.60;0.03;1.31;-0.71;0.80;9.78;2.61;-0.76
4796;1;-0.250;7.450;-3.341;0.21;-0.13;0.94;0.31;-0.07;5.26;-2.49;-3.56
4797;1;-0.250;7.350;-3.365;0.01;-0.19;0.66;0.82;-0.40;2.11;-5.70;-5.15
4798;1;-0.250;7.250;-3.388;-0.08;-0.20;0.45;0.97;-0.48;0.05;-7.61;-5.95
4799;1;-0.250;7.150;-3.412;-0.11;-0.17;0.31;0.93;-0.45;-1.21;-8.58;-6.23
4800;1;-0.250;7.050;-3.435;-0.10;-0.14;0.20;0.80;-0.38;-1.90;-8.85;-6.15
4801;1;-0.250;6.950;-3.459;-0.09;-0.11;0.13;0.64;-0.29;-2.22;-8.61;-5.84
4802;1;-0.250;6.850;-3.482;-0.07;-0.08;0.09;0.54;-0.21;-2.34;-7.99;-5.35
4803;1;-0.250;6.750;-3.505;-0.05;-0.05;0.05;0.43;-0.11;-2.40;-7.08;-4.79
4804;1;-0.250;6.650;-3.529;-0.04;-0.03;0.03;0.32;-0.04;-2.39;-6.05;-4.17
4805;1;-0.250;6.550;-3.552;-0.03;-0.02;0.02;0.27;0.00;-2.35;-4.87;-3.52
4806;1;-0.250;6.450;-3.576;-0.02;-0.01;0.01;0.24;0.03;-2.23;-3.64;-2.87
4807;1;-0.250;6.350;-3.599;-0.02;-0.01;0.00;0.20;0.04;-2.10;-2.46;-2.28
4808;1;-0.250;6.250;-3.623;-0.02;0.00;0.00;0.18;0.04;-1.99;-1.41;-1.77
4809;1;-0.250;6.150;-3.646;-0.01;0.00;-0.01;0.15;0.03;-1.85;-0.51;-1.32
4810;1;-0.250;6.050;-3.670;-0.01;0.01;-0.01;0.13;0.01;-1.69;0.26;-0.92
4811;1;-0.350;7.950;-3.249;3.43;3.16;3.22;14.06;14.94;51.32;53.08;37.53
4812;1;-0.350;7.850;-3.272;2.97;1.86;2.51;6.14;10.22;37.24;38.39;21.85
4813;1;-0.350;7.750;-3.295;2.12;0.94;1.89;1.79;6.02;25.59;25.58;9.74
4814;1;-0.350;7.650;-3.317;1.31;0.38;1.40;0.54;3.12;17.07;15.48;1.65
4815;1;-0.350;7.550;-3.340;0.72;0.09;1.00;0.44;1.45;10.87;8.06;-3.33
4816;1;-0.350;7.450;-3.363;0.34;-0.06;0.69;0.55;0.57;6.46;2.83;-6.21
4817;1;-0.350;7.350;-3.386;0.12;-0.13;0.47;0.61;0.14;3.42;-0.75;-7.73
4818;1;-0.350;7.250;-3.409;0.01;-0.14;0.31;0.58;-0.05;1.39;-3.11;-8.38
4819;1;-0.350;7.150;-3.431;-0.04;-0.13;0.20;0.49;-0.13;0.09;-4.58;-8.47
4820;1;-0.350;7.050;-3.454;-0.06;-0.12;0.13;0.39;-0.14;-0.73;-5.37;-8.21
4821;1;-0.350;6.950;-3.477;-0.06;-0.10;0.09;0.34;-0.13;-1.24;-5.63;-7.68
4822;1;-0.350;6.850;-3.500;-0.05;-0.08;0.05;0.27;-0.10;-1.60;-5.47;-7.03
4823;1;-0.350;6.750;-3.523;-0.05;-0.06;0.03;0.20;-0.07;-1.84;-5.05;-6.28
4824;1;-0.350;6.650;-3.545;-0.04;-0.04;0.02;0.18;-0.04;-1.99;-4.42;-5.50
4825;1;-0.350;6.550;-3.568;-0.04;-0.03;0.01;0.17;-0.02;-2.07;-3.63;-4.72
4826;1;-0.350;6.450;-3.591;-0.03;-0.02;0.00;0.16;-0.01;-2.05;-2.73;-3.92
4827;1;-0.350;6.350;-3.614;-0.03;-0.01;-0.01;0.14;0.00;-1.99;-1.83;-3.17
4828;1;-0.350;6.250;-3.637;-0.03;-0.01;-0.01;0.13;-0.01;-1.92;-0.98;-2.51
4829;1;-0.350;6.150;-3.660;-0.02;0.00;-0.01;0.11;-0.01;-1.82;-0.23;-1.92
4830;1;-0.350;6.050;-3.682;-0.02;0.01;-0.01;0.09;-0.03;-1.70;0.42;-1.39
4831;1;-0.450;7.950;-3.274;2.53;2.42;2.74;13.04;10.85;51.91;54.35;33.83
4832;1;-0.450;7.850;-3.296;2.31;1.36;2.06;7.05;6.96;37.70;39.71;18.88
4833;1;-0.450;7.750;-3.318;1.74;0.70;1.50;3.60;4.50;25.93;27.95;7.80
4834;1;-0.450;7.650;-3.340;1.15;0.29;1.07;1.87;2.71;17.22;18.74;0.13
4835;1;-0.450;7.550;-3.362;0.69;0.07;0.73;1.06;1.52;11.01;11.77;-4.74
4836;1;-0.450;7.450;-3.385;0.37;-0.05;0.49;0.69;0.82;6.70;6.66;-7.58
4837;1;-0.450;7.350;-3.407;0.17;-0.10;0.32;0.49;0.41;3.77;2.97;-9.06
4838;1;-0.450;7.250;-3.429;0.06;-0.12;0.21;0.34;0.18;1.82;0.37;-9.66
4839;1;-0.450;7.150;-3.451;0.00;-0.12;0.14;0.24;0.06;0.51;-1.40;-9.70
4840;1;-0.450;7.050;-3.473;-0.03;-0.11;0.09;0.20;0.00;-0.36;-2.51;-9.34
4841;1;-0.450;6.950;-3.495;-0.04;-0.09;0.05;0.15;-0.04;-0.99;-3.10;-8.79
4842;1;-0.450;6.850;-3.518;-0.04;-0.08;0.03;0.08;-0.06;-1.43;-3.31;-8.07
4843;1;-0.450;6.750;-3.540;-0.04;-0.06;0.02;0.08;-0.06;-1.74;-3.19;-7.27
4844;1;-0.450;6.650;-3.562;-0.04;-0.05;0.01;0.09;-0.06;-1.95;-2.85;-6.43
4845;1;-0.450;6.550;-3.584;-0.04;-0.04;0.00;0.09;-0.05;-2.08;-2.35;-5.58
4846;1;-0.450;6.450;-3.606;-0.04;-0.03;-0.01;0.09;-0.05;-2.10;-1.72;-4.71
4847;1;-0.450;6.350;-3.629;-0.03;-0.02;-0.01;0.08;-0.05;-2.07;-1.04;-3.87
4848;1;-0.450;6.250;-3.651;-0.03;-0.01;-0.01;0.08;-0.05;-2.02;-0.38;-3.10
4849;1;-0.450;6.150;-3.673;-0.03;0.00;-0.01;0.07;-0.05;-1.94;0.22;-2.41
4850;1;-0.450;6.050;-3.695;-0.03;0.01;-0.01;0.06;-0.06;-1.85;0.74;-1.78
4851;1;-0.550;7.950;-3.298;1.82;1.83;2.31;11.84;8.45;50.84;54.88;30.84
4852;1;-0.550;7.850;-3.320;1.72;1.00;1.67;6.83;5.09;36.63;40.65;16.50
4853;1;-0.550;7.750;-3.341;1.33;0.49;1.17;3.94;3.40;25.00;29.51;6.18
4854;1;-0.550;7.650;-3.363;0.92;0.20;0.80;2.23;2.22;16.44;20.93;-0.91
4855;1;-0.550;7.550;-3.385;0.58;0.03;0.53;1.25;1.39;10.40;14.38;-5.47
4856;1;-0.550;7.450;-3.406;0.34;-0.06;0.35;0.70;0.86;6.27;9.44;-8.17
4857;1;-0.550;7.350;-3.428;0.18;-0.10;0.22;0.38;0.52;3.51;5.75;-9.59
4858;1;-0.550;7.250;-3.449;0.08;-0.11;0.14;0.19;0.29;1.67;3.05;-10.19
4859;1;-0.550;7.150;-3.471;0.03;-0.11;0.09;0.12;0.17;0.42;1.13;-10.22
4860;1;-0.550;7.050;-3.492;0.00;-0.10;0.06;0.06;0.06;-0.46;-0.18;-9.94
4861;1;-0.550;6.950;-3.514;-0.02;-0.09;0.04;-0.01;-0.02;-1.08;-1.00;-9.39
4862;1;-0.550;6.850;-3.535;-0.03;-0.08;0.02;-0.01;-0.06;-1.55;-1.42;-8.71
4863;1;-0.550;6.750;-3.557;-0.03;-0.07;0.01;0.00;-0.08;-1.88;-1.52;-7.91
4864;1;-0.550;6.650;-3.579;-0.03;-0.05;0.00;0.01;-0.08;-2.11;-1.39;-7.06
4865;1;-0.550;6.550;-3.600;-0.03;-0.04;-0.01;0.02;-0.08;-2.26;-1.11;-6.18
4866;1;-0.550;6.450;-3.622;-0.03;-0.03;-0.01;0.03;-0.08;-2.31;-0.69;-5.28
4867;1;-0.550;6.350;-3.643;-0.03;-0.02;-0.01;0.03;-0.08;-2.29;-0.19;-4.39
4868;1;-0.550;6.250;-3.665;-0.03;-0.01;-0.02;0.03;-0.08;-2.25;0.31;-3.56
4869;1;-0.550;6.150;-3.686;-0.03;0.00;-0.02;0.03;-0.08;-2.18;0.78;-2.79
4870;1;-0.550;6.050;-3.708;-0.03;0.01;-0.02;0.03;-0.08;-2.10;1.19;-2.09
4871;1;-0.650;7.950;-3.323;1.28;1.35;1.90;10.51;6.82;48.43;54.56;28.29
4872;1;-0.650;7.850;-3.344;1.25;0.69;1.34;6.13;3.88;34.37;40.99;14.57
4873;1;-0.650;7.750;-3.365;0.98;0.32;0.90;3.64;2.61;23.13;30.47;4.94
4874;1;-0.650;7.650;-3.386;0.70;0.10;0.60;2.11;1.80;14.97;22.44;-1.59
4875;1;-0.650;7.550;-3.407;0.46;-0.02;0.39;1.16;1.21;9.31;16.27;-5.78
4876;1;-0.650;7.450;-3.428;0.28;-0.08;0.25;0.59;0.80;5.49;11.53;-8.31
4877;1;-0.650;7.350;-3.449;0.16;-0.10;0.16;0.27;0.52;2.97;7.92;-9.69
4878;1;-0.650;7.250;-3.470;0.09;-0.11;0.10;0.13;0.33;1.27;5.20;-10.28
4879;1;-0.650;7.150;-3.490;0.04;-0.11;0.06;0.02;0.17;0.11;3.17;-10.41
4880;1;-0.650;7.050;-3.511;0.01;-0.10;0.04;-0.06;0.04;-0.71;1.74;-10.17
4881;1;-0.650;6.950;-3.532;0.00;-0.09;0.03;-0.07;-0.04;-1.33;0.79;-9.71
4882;1;-0.650;6.850;-3.553;-0.01;-0.08;0.01;-0.06;-0.08;-1.82;0.22;-9.07
4883;1;-0.650;6.750;-3.574;-0.02;-0.07;0.01;-0.05;-0.10;-2.16;-0.04;-8.30
4884;1;-0.650;6.650;-3.595;-0.02;-0.05;0.00;-0.04;-0.11;-2.40;-0.07;-7.45
4885;1;-0.650;6.550;-3.616;-0.03;-0.04;-0.01;-0.03;-0.11;-2.56;0.06;-6.57
4886;1;-0.650;6.450;-3.637;-0.03;-0.03;-0.01;-0.02;-0.11;-2.62;0.32;-5.67
4887;1;-0.650;6.350;-3.658;-0.03;-0.02;-0.02;-0.02;-0.10;-2.60;0.67;-4.75
4888;1;-0.650;6.250;-3.679;-0.03;-0.01;-0.02;-0.01;-0.10;-2.56;1.03;-3.90
4889;1;-0.650;6.150;-3.700;-0.03;0.00;-0.02;-0.01;-0.11;-2.50;1.39;-3.09
4890;1;-0.650;6.050;-3.721;-0.03;0.01;-0.02;-0.01;-0.11;-2.42;1.70;-2.34
4891;1;-0.750;7.950;-3.348;0.88;0.95;1.52;9.08;5.54;44.96;53.42;25.96
4892;1;-0.750;7.850;-3.368;0.89;0.44;1.05;5.21;3.02;31.26;40.75;12.94
4893;1;-0.750;7.750;-3.388;0.71;0.17;0.69;3.09;2.05;20.64;30.95;4.00
4894;1;-0.750;7.650;-3.409;0.51;0.02;0.44;1.78;1.45;13.12;23.44;-1.98
4895;1;-0.750;7.550;-3.429;0.35;-0.06;0.28;0.95;1.02;7.99;17.63;-5.83
4896;1;-0.750;7.450;-3.449;0.23;-0.09;0.18;0.45;0.70;4.57;13.11;-8.19
4897;1;-0.750;7.350;-3.470;0.14;-0.11;0.12;0.21;0.50;2.31;9.62;-9.51
4898;1;-0.750;7.250;-3.490;0.08;-0.11;0.07;0.05;0.28;0.81;6.89;-10.19
4899;1;-0.750;7.150;-3.510;0.05;-0.11;0.05;-0.06;0.10;-0.26;4.85;-10.35
4900;1;-0.750;7.050;-3.530;0.03;-0.10;0.03;-0.09;-0.01;-1.07;3.35;-10.21
4901;1;-0.750;6.950;-3.551;0.01;-0.09;0.02;-0.10;-0.07;-1.69;2.30;-9.80
4902;1;-0.750;6.850;-3.571;0.00;-0.07;0.01;-0.10;-0.11;-2.18;1.62;-9.22
4903;1;-0.750;6.750;-3.591;0.00;-0.06;0.00;-0.09;-0.12;-2.53;1.25;-8.49
4904;1;-0.750;6.650;-3.612;-0.01;-0.05;0.00;-0.08;-0.13;-2.77;1.10;-7.67
4905;1;-0.750;6.550;-3.632;-0.02;-0.04;-0.01;-0.07;-0.13;-2.92;1.11;-6.81
4906;1;-0.750;6.450;-3.652;-0.02;-0.03;-0.01;-0.06;-0.13;-2.99;1.26;-5.91
4907;1;-0.750;6.350;-3.673;-0.02;-0.01;-0.02;-0.06;-0.13;-2.97;1.49;-5.01
4908;1;-0.750;6.250;-3.693;-0.02;0.00;-0.02;-0.05;-0.13;-2.93;1.75;-4.13
4909;1;-0.750;6.150;-3.713;-0.02;0.01;-0.02;-0.04;-0.12;-2.87;2.02;-3.30
4910;1;-0.750;6.050;-3.734;-0.02;0.02;-0.02;-0.04;-0.12;-2.80;2.26;-2.52
4911;1;-0.850;7.950;-3.372;0.58;0.62;1.18;7.58;4.47;40.69;51.52;23.71
4912;1;-0.850;7.850;-3.392;0.61;0.25;0.80;4.23;2.37;27.65;39.95;11.51
4913;1;-0.850;7.750;-3.412;0.50;0.06;0.52;2.47;1.63;17.88;30.98;3.30
4914;1;-0.850;7.650;-3.431;0.37;-0.04;0.33;1.39;1.16;11.14;24.02;-2.15
